,id,name,selver_guess,price,selver_price,price/kg,selver_price_kg,similarity
2991,192834,Kurkum jahvatatud Santa Maria 20g,"Kurkum jahvatatud, 20g, SANTA MARIA",0.99,0.85,49.5,42.5,100
531,211267,Salatisibul kg,"Salatisibul, kg",1.1,2.29,2.19,2.29,100
2938,1004032,Kaerajahu täistera Veski Mati 1kg,"Täistera kaerajahu, VESKI MATI, 1kg",2.39,2.69,2.39,2.69,100
8525,401479,Tampoonid O.B. Normal 16 tk,"Tampoonid Normal, O.B., 16 tk",3.39,3.29,0.21,0.21,100
488,212564,Muskaatkõrvits kg,"Muskaatkõrvits, kg",5.92,1.29,1.69,1.29,100
5307,169175,Piimašokolaad Milka Oreo 300g,"Piimašokolaad Oreo, MILKA, 300g",3.99,3.89,13.3,12.97,100
494,217120,Juurseller kg,"Juurseller, kg",2.07,1.99,1.59,1.99,100
2822,196797,Pannkoogimoos Meie Mari 350g,"Pannkoogimoos, MEIE MARI, 350g",2.39,2.39,6.83,6.83,100
4509,1009601,Salatikaste viigimarja&sinepi Thomy 350ml,"Viigimarja-sinepi salatikaste, THOMY, 350ml",2.79,3.39,7.71,9.69,100
9615,402499,Habemeajamisvaht Nivea sensitive 200 ml,"Habemeajamisvaht Sensitive, NIVEA, 200 ml",5.29,4.99,26.45,24.95,100
3539,134100,Sidrunipipar Santa Maria 300g,"Sidrunipipar , 300g, SANTA MARIA",7.69,6.99,25.63,23.3,100
2760,179935,Kaerahelbed täistera jämedad Tartu Mill 1kg,"Täistera jämedad kaerahelbed, TARTU MILL, 1kg",2.29,1.89,2.29,1.89,100
4449,1008567,Salsa kaste Salvest 360g,"Salsa kaste, SALVEST, 360g",2.49,2.29,6.92,6.36,100
4386,1005036,Kaste ameerikapärane hot dog Heinz 400ml,"Hot dog kaste Ameerikapärane, HEINZ, 400ml",4.05,4.29,9.64,10.73,100
530,285981,Arbuus kg,"Arbuus, kg",12.94,1.59,1.99,1.59,100
2400,952830,Mitmevilja pala Leibur 220g,"Mitmevilja pala, LEIBUR, 220g",1.29,1.29,5.86,5.86,100
2940,191183,"Tšillipipar Red Hot, helbed Santa Maria 28g","Tšillipipar Red Hot, helbed, 28g, SANTA MARIA",2.69,2.09,96.07,74.64,100
