id,name,price,price/kg
995849,PT Sushi salat külms.lõhega Sushi Set 750g,14.99,19.99
981976,PT Kirju koer 500g,7.99,15.98
995848,PT Sushi salat kanaga Sushi Set 750g,14.99,19.99
977732,"PT Kirsi-kohupiima kringel Rimi pagar 1,5kg",9.99,6.66
291928,"PT Singi-juustukringel Rimi pagar 1,5kg",13.79,9.19
977185,"PT Kaneeli-šokolaadi kringel Rimi pagar 1,5kg",14.59,9.73
981975,PT Singirullid 500g,7.99,15.98
976976,"PT Kana-spinatikringel Rimi pagar 1,5kg",11.49,7.66
981566,PT Peekoni-ploomirullid 350g,11.99,34.26
954970,PT Must leib kiluga 550g,8.15,14.82
954972,PT Täidetud muna-singirullivaagen 1kg,13.99,13.99
291925,"PT Martsipanimaitseline pohlakringel 1,5kg",14.99,9.99
980825,PT Suits. seakeel mädarõikakreemiga 230g,4.69,20.39
954973,PT Köögiviljavaagen Caesari kastmega 500g,5.99,11.98
981565,PT Suupistevalik 530g,8.29,8.29
985038,PT Lavaširull kanaga 580g,11.99,20.67
954955,PT Kartuli-singisalat 1kg,7.39,7.39
979056,PT Sushi Set komplekt TOP 1100g,21.99,19.99
981561,PT Retrovaagen 500g,8.99,17.98
979195,PT Kreeka salat 500g,8.99,17.98
1006204,"PT Puuviljavaagen 1,5kg",18.99,12.66
982439,PT Peekonirulli- ja seakeele valik 280g,7.59,27.11
981676,PT Korvikesed lõhekreemiga 340 g,13.99,41.15
1006202,PT Minipliinid tuunikalakreemiga 160g,6.99,43.69
969868,"PT Kaneeli-šokolaadistritsel Rimi 0,35kg",3.79,10.83
954959,PT Vinegrett 600g,3.49,5.82
977733,"PT Kaneeli-õunakringel Rimi pagar 1,5kg",10.69,7.13
982461,PT Kanatiivad magusa tšillikastmega 500g,9.99,19.98
954964,PT Caesari salat kanaga 400g,8.49,21.22
981323,PT Korvikesed sinihallitusj. kreveti 360g,13.99,38.86
995320,PT Ahjukartul 1kg,5.29,5.29
954950,PT Makaroni-singisalat 1kg,6.99,6.99
954951,PT Kasukasalat 1kg,7.99,7.99
954958,PT Rosolje 1 kg,7.99,7.99
954960,PT Kartuli-lihasalat 1kg,7.99,7.99
979057,PT Sushi Set komplekt 1100g,21.99,19.99
959613,PT Võileivatort kiluga 500g,7.65,15.3
1006200,PT Minipliinid kana ja päik. Tomatiga 200g,6.99,34.95
979201,PT Puuviljasalat 700g,9.99,14.27
968985,"Kana-spinatistritsel Rimi pagar. 0,5kg",5.29,10.58
955116,"Martsipanimaits.pohlastritsel 0,5kg Rimi",4.79,9.58
995329,PT Seaprae lõigud 850g,17.99,21.16
981674,PT Minisaiad kreveti ja tomatikreem. 330g,13.99,42.39
954952,PT Pasta-kanalihasalat 1kg,9.99,9.99
954957,PT Kana-karrisalat 1kg,14.99,14.99
954961,PT Kapsa-kurgisalat 600 g,3.99,6.65
954963,PT Täisterapastasalat 600g,6.29,10.48
954971,PT Võileivatort singiga 1kg,14.99,14.99
981322,PT Korvikesed kana ja päikesekuiv.tom. 320g,11.99,37.47
979176,PT Kihiline suitsukalasalat 850G,9.99,11.75
981563,PT Porgandi-ananassisalat 600g,3.49,5.82
979196,PT Hiinakapsa krevetisalat 500g,7.99,15.98
979194,PT Tuunikalasalat 500g,6.69,13.38
979203,PT Mozzarellasalat 600g,10.99,18.32
981324,PT Minisaiad pardi ja sinihallitusj. 270g,6.99,25.89
982462,PT Lihavaagen 600g,11.49,19.15
979191,PT Peedi-kreekapähklisalat 500g,8.99,17.98
982438,PT Juustuvaagen 720g,19.99,27.76
982464,PT Õllevaagen 600g,13.49,22.48
1006201,PT Minipliinid seakeele ja mädarõikak. 190g,6.99,36.79
982460,PT Veinivaagen 760g,22.99,30.25
955115,"PT Singi-juustustritsel 0,5kg Rimi",4.59,9.18
995321,PT Ahjuköögiviljad 1kg,9.49,9.49
954956,PT Kidney-oa -singisalat 1kg,8.99,8.99
954967,PT Kinoa-kanalihasalat 600g,8.29,13.82
954966,PT Lihtne kartuli-munasalat 1kg,6.49,6.49
981562,PT Kapsa-porgandi toorsalat 600g,3.19,5.32
981564,PT Täisterapastasalat kanaga 600g,6.29,10.48
981673,PT Hiidkrevetid magusas tšillikastmes 650g,38.9,59.85
979202,PT Meloni-mündisalat 600 g,9.99,16.65
982463,PT Korvikesed tuunikalakreemiga 300g,12.69,42.3
983020,"PT Õllevaagen 1,5kg",29.99,19.99
979199,PT Grillsalat 700g,6.99,9.99
979200,PT Grillsalat viinamarjadega 700g,7.99,11.41
995327,PT Paneeritud kanašnitsel 950g,19.19,20.2
995330,PT Hakkšnitsel 950g,12.49,13.15
284397,Mahemuna M Kikerikii,3.99,0.4
284305,Mahe lihaveise hakkliha kg Hiiumaa,6.02,10.95
903165,Mahe toortatratang Tõrvaaugu 1kg,4.5,4.5
294033,Mahe toortatratang Remedyway 1kg,6.45,6.45
932849,Öko odrakruup Jahu-Jaan 750g,1.39,1.85
299177,"Keefir 2,5% Nopri 1l",2.35,2.35
294020,Maisipallid iirises Eesti Wärk 225g,2.6,11.56
946383,Öko kaerahelbed Jahu-Jaan 900g,2.3,2.56
930836,Vaarikakohupiimakreem Nopri 100g,0.99,9.9
903167,Mahe toortatrajahu Tõrvaaugu 1kg,4.5,4.5
977004,Riisikad soolvees Berrymush 430g,4.79,11.14
284359,Šokolaadikohupiimakreem Nopri 200g,1.55,7.75
967601,Marineeritud punane sibul Berrymush 500g,3.39,6.78
994096,Talupuding mustika Nopri 200g,1.49,7.45
290926,Hautatud kapsas 900g,4.87,5.41
952776,Kohupiimakreem murakas Nopri 200g,1.59,7.95
901356,Vutimunad Järveotsa 18tk,3.59,0.2
929158,Kooritud  kanepiseemned Tarmere 100g,3.39,33.9
903166,Mahe toortatrakruup Tõrvaaugu 1kg,4.25,4.25
904174,Öko kaerajahu Jahu-Jaan 750g,2.02,2.69
934843,"Mahe maapähklivõi krõbisev ""Kranži"" 333g",6.99,20.99
947092,Mahe külmutatud mustsõstrad Ostrova 750g,5.25,7.0
977567,Kissellimaius Mustikas Nopri 180g,1.25,6.94
930524,Mahe münt püramiidkotid 10tk Põhjala,4.99,199.6
946399,Öko 4-vilja helbed Jahu-Jaan 900g,1.9,2.11
934841,"Mahe maapähklivõi kreemjas ""Smuud"" 333g",6.99,20.99
290906,Mahe astelp-viigim-tatra ampstükk 35g,1.85,52.86
904588,Mahe vaarika marjarullid Kaasiku 40g,3.7,92.5
932846,Öko odrahelbed Jahu-Jaan 500g,1.29,2.58
977419,Talukodujuust koorega Nopri 300g,2.55,8.5
155972,Öko nisujahu (täistera) Jahu-Jaan 750g,1.39,1.85
906130,Mahe marmelaad must sõstar Minna 150g,3.65,24.33
155983,Öko nisujahu (püül) Jahu-Jaan 750g,1.85,2.47
284315,Mahetalle hakkliha külmutatud kg Hiiumaa,6.23,12.45
287158,Hapukoor 20%  Nopri,2.15,5.97
904982,Maasuitsuliha kg Rebaseonu,9.59,15.99
943714,Maapähklivõi-proteiini toorbatoon Be Fit 35g,1.69,48.29
932689,Mahe piparmündišokolaad Roosiku 77g,3.65,47.4
960648,Kitsepiim pastör. Andri-Peedo 960ml,3.7,3.85
994103,Talukodujuust murulauguga Nopri 300g,2.35,7.83
155986,Öko speltajahu (püül) Jahu-Jaan 750g,3.24,4.32
920776,Šokolaadi Jäämari 80g,2.39,29.88
