name,price,price/kg
"Koerakonserv loomalihaga, PEDIGREE, 1,2 kg",3.39,2.83
"Sibula-küüslaugu Gouda, NOPRI, 250 g",4.99,19.96
"Sinepiseemne Gouda, NOPRI, 250 g",4.99,19.96
"Bresto juust Light, E-PIIM, 200 g",2.29,11.45
"Šokolaadipastillid pähkliga, M&M'S, 200 g",3.49,17.45
"Dessertkommid, JAKOBSEN, 225 g",5.99,26.62
"Rabamurakamoos, KÜLLUS, 400 g",9.99,24.97
"Kuiv kassitoit kana-täisteranisu, PURINA ONE, 800 g",6.19,7.74
"Püsivärv Color Naturals Olive, GARNIER, 1 tk",4.69,4.69
"Püsivärv Color Naturals Olive, GARNIER, 1 tk",4.69,4.69
"Heeringafilee kergsoola, VICI, 220 g",2.39,10.86
"Rannakarbid Catalane, VILSUNDBLUE, 350 g",3.79,10.83
"Praekapsas porgandiga, PÕLTSAMAA, 520 g",2.59,4.98
"Tursamaks, KAPTEN GRANT, 230 g",4.49,19.52
"Väikelastepiim 3 Junior Combiotic 12+, HIPP, 500 g",9.59,19.18
"Linnulihapasteet tilliga, PROFI, 131 g",0.89,6.79
"Linnulihapasteet šampinjonidega, PROFI, 131 g",0.89,6.79
"Kalkunipasteet, PROFI, 131 g",0.89,6.79
"Riisivahvlid, SONKO, 130 g",0.99,7.62
"Sealihasült, MAKS&MOORITS, 300 g",1.79,5.97
"Long drink Junibeer, RE-CRAFTED, 275 ml",2.89,10.51
"Õlu Czeh Lager, BUDWEISER, 330 ml",1.69,5.12
"Siider Rondo, TORI SIIDRITALU, 330 ml",2.79,8.45
"Teryaki kana-nuudliroog, SELVERI KÖÖK, 350 g",4.59,13.11
"Koorejäätis küpsistega, RAKS, 56 g",1.09,19.46
"Lehttaignatoruke kohupiimakreemiga, MARTA PAGAR, 2 x 75 g",2.69,17.93
"Kaneelirullid, GIFFLAR, 260 g",1.99,7.65
"Werneri Napoleoni kook, GUSTAV, 900 g",10.99,12.21
"Svammid Miraclean, VILEDA, 2 tk",3.39,1.7
"Poke'-kauss tuunikalaga, SELVERI KÖÖK, 350 g",5.49,15.69
"Kassisööt loomalihaga, SELVER, 415 g",0.69,1.66
"Kassisööt kanalihaga, SELVER, 415 g",0.69,1.66
"Kassisööt kalaga, SELVER, 415 g",0.69,1.66
"Kalendermärkmik Kantsler Päev, TIMER, 140x190mm",8.99,8.99
"Biskviit šokolaaditäidisega, BARNI, 150 g",1.69,11.27
"Mango-granadilli nektar, PFANNER, 1 L",2.49,2.49
"Barni piima biskviitküpsis, LU, 30 g",0.49,16.33
"Kalendermärkmik Mini Timex, TIMER, 125x140mm",15.99,15.99
"Soolakringel, CROCO, 300 g",2.49,8.3
"Soolakreekerite/kringlite mix, CROCO, 500 g",3.19,6.38
"MINI sisu Nädal, TIMER, 73x135mm",4.59,4.59
"Praetud räimed tomatikastmes, BRIIS, 270 g",1.49,5.52
"Grilljuust, NOPRI, 200 g",4.49,22.45
"Sepikujahu, VESKI MATI, 1 kg",1.39,1.39
"Toidulisand Kaltsium, SANA+, 80 g",1.59,19.88
"Mini multipakk kakao-vaniljemaitseline, 7DAYS, 185 g",2.19,11.84
"Toidulisand raud + C-vitamiin, SANA+, 80 g",1.59,19.88
"Oliiviõli rafineeritud ja väärisoliiviõlist, ONDOLIVA, 500 ml",6.99,13.98
"Apelsinimaitselised tropsid, SANA+, 39 g",0.79,20.26
"Vaarikamaitselised tropsid, SANA+, 39 g",0.79,20.26
"Paber värviline A4, LOTTE, 1tk",1.99,1.99
"Nõelte komplekt, 55 tk",1.39,1.39
"Mandlijook magustamata, ALPRO, 1 l",2.59,2.59
"Näkileib juustu ja küüslaugumaitseline, RIDUTO, 130 g",1.59,12.23
"Näkileib tomati- ja basiilikumaitseline, RIDUTO, 130 g",1.29,9.92
"Kuivatatud goji marjad, GOLDEN NUT, 100 g",2.29,22.9
"Seemne ja pähkli segu Salad mix 2, GOLDEN NUT, 150 g",0.99,6.6
"Kreekerid juustuga, TUC, 100 g",0.99,9.9
"Kreekerid sibula ja hapukoorega, TUC, 100 g",1.29,12.9
"Kreekerid Juustu Mini, TUC, 100 g",1.29,12.9
"Jahvatatud kohv Classic Cremoso, PAULIG, 500 g",4.89,9.78
"Beebikelk Cruiser roosa, STIGA, 1tk",21.9,21.9
"Katlakivitabletid espressomasina, JURA, 3 tk",15.99,5.33
"Pille pisikesed pannkoogid, TARTU MILL, 400 g",1.49,3.72
"Siider Pear, SOMERSBY, 500 ml PURK",1.89,3.78
"Smuutike maasika-banaani, LIMPA, 200 ml",0.89,4.45
Beringer  Classic Chardonnay 75 cl,7.99,10.65
Eesti Naine,6.49,6.49
"Klaasipesuvedelik -20C etanooliga, MAYERI, 4 l",4.99,1.25
"Pirnipüree mahe 4+, PÕNN, 100 g",1.59,15.9
"Mangopüree mahe 4+, PÕNN, 100 g",1.59,15.9
"Eesti piimašokolaad mandlitega, KALEV, 300 g",4.99,16.63
"Suitsutatud sea välisfilee, RAKVERE LK, 130 g",2.49,19.15
"Suitsupeekon, RAKVERE LK, 130 g",2.49,19.15
"Valgehallitusjuust Brie, KÄSEREI, 125 g",3.49,27.92
"Jenkki Spearmint, JENKKI, 30 g",0.99,33.0
"Kanasink tilliga, TALLEGG, 190 g",2.39,12.58
"Sojajook šokolaadimaitseline, ALPRO, 1 l",3.09,3.09
"Hapukoor 10%, FARMI, 500 g",1.49,2.98
"Dušigeel Deeply Nourishing, DOVE, 250 ml",2.49,9.96
"Panang karri kana ja jasmiiniriisiga, KITCHEN JOY, 350 g",3.99,11.4
"Paneeritud kanafileešnitsel, MAKS&MOORITS, 340 g",3.29,9.68
